用途	对象	槽位	本机绝对路径	状态	来源
角色代表图片	伊泽瑞尔		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\01_角色\Ezreal.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/champion/Ezreal.png
技能图标	伊泽瑞尔·咒能高涨	P	C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\02_技能\Ezreal\P_Ezreal_RisingSpellForce.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/passive/Ezreal_RisingSpellForce.png
技能图标	伊泽瑞尔·秘术射击	Q	C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\02_技能\Ezreal\Q_EzrealQ.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/spell/EzrealQ.png
技能图标	伊泽瑞尔·精华跃动	W	C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\02_技能\Ezreal\W_EzrealW.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/spell/EzrealW.png
技能图标	伊泽瑞尔·奥术跃迁	E	C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\02_技能\Ezreal\E_EzrealE.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/spell/EzrealE.png
技能图标	伊泽瑞尔·精准弹幕	R	C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\02_技能\Ezreal\R_EzrealR.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/spell/EzrealR.png
角色代表图片	盖伦		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\01_角色\Garen.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/champion/Garen.png
技能图标	盖伦·坚韧	P	C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\02_技能\Garen\P_Garen_Passive.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/passive/Garen_Passive.png
技能图标	盖伦·致命打击	Q	C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\02_技能\Garen\Q_GarenQ.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/spell/GarenQ.png
技能图标	盖伦·勇气	W	C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\02_技能\Garen\W_GarenW.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/spell/GarenW.png
技能图标	盖伦·审判	E	C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\02_技能\Garen\E_GarenE.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/spell/GarenE.png
技能图标	盖伦·德玛西亚正义	R	C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\02_技能\Garen\R_GarenR.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/spell/GarenR.png
角色代表图片	艾希		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\01_角色\Ashe.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/champion/Ashe.png
角色代表图片	拉克丝		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\01_角色\Lux.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/champion/Lux.png
角色代表图片	阿狸		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\01_角色\Ahri.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/champion/Ahri.png
角色代表图片	凯特琳		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\01_角色\Caitlyn.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/champion/Caitlyn.png
角色代表图片	德莱厄斯		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\01_角色\Darius.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/champion/Darius.png
角色代表图片	德莱文		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\01_角色\Draven.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/champion/Draven.png
角色代表图片	金克丝		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\01_角色\Jinx.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/champion/Jinx.png
角色代表图片	蕾欧娜		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\01_角色\Leona.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/champion/Leona.png
角色代表图片	卢锡安		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\01_角色\Lucian.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/champion/Lucian.png
角色代表图片	莫甘娜		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\01_角色\Morgana.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/champion/Morgana.png
角色代表图片	崔丝塔娜		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\01_角色\Tristana.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/champion/Tristana.png
角色代表图片	韦鲁斯		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\01_角色\Varus.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/champion/Varus.png
角色代表图片	墨菲特		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\01_角色\Malphite.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/champion/Malphite.png
角色代表图片	厄运小姐		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\01_角色\MissFortune.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/champion/MissFortune.png
纯属性装备图标	鞋子		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\1001_鞋子.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/1001.png
纯属性装备图标	仙女护符		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\1004_仙女护符.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/1004.png
纯属性装备图标	治疗宝珠		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\1006_治疗宝珠.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/1006.png
纯属性装备图标	巨人腰带		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\1011_巨人腰带.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/1011.png
纯属性装备图标	灵巧披风		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\1018_灵巧披风.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/1018.png
纯属性装备图标	爆裂魔杖		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\1026_爆裂魔杖.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/1026.png
纯属性装备图标	蓝水晶		C:\project\damage_viewer_project_planning\数据参考\全量录入-2026-09\图片待上传\03_装备\1027_蓝水晶.png	可选择上传	https://ddragon.leagueoflegends.com/cdn/16.17.1/img/item/1027.png
