
> damage-viewer-web@0.1.0 test
> vitest run --config vitest.config.ts


 RUN  v2.1.9 C:/project/damage_web_dev/web

 ✓ src/engine/persistentResultAdapter.test.ts (9 tests) 9ms
 ✓ src/pages/admin/skills/processes/processForm.test.ts (11 tests) 12ms
 ✓ src/engine/hitAdapter.test.ts (15 tests) 18ms
 ✓ src/engine/triggerAdapter.test.ts (59 tests) 46ms
 ✓ src/engine/processAdapter.test.ts (13 tests) 19ms
 ✓ src/services/skillEffectClient.test.ts (23 tests) 32ms
 ✓ src/services/skillTriggerRuleClient.test.ts (116 tests) 50ms
 ✓ src/pages/admin/skills/triggers/triggerRuleForm.bindings.test.ts (13 tests) 9ms
 ✓ src/pages/admin/skills/triggers/triggerRuleForm.outputs.test.ts (9 tests) 12ms
 ✓ src/pages/admin/skills/triggers/triggerRuleForm.mapping.test.ts (23 tests) 17ms
 ✓ src/pages/admin/skills/triggers/triggerRuleForm.test.ts (27 tests) 23ms
 ✓ src/pages/admin/skills/overview/skillBehaviorOverview.test.ts (3 tests) 5ms
 ✓ src/pages/admin/skills/effects/effectForm.test.ts (52 tests) 36ms
 ✓ src/pages/admin/skills/effects/movementSlow.test.ts (24 tests) 13ms
 ✓ src/pages/admin/skills/processes/internalStateForm.test.ts (7 tests) 7ms
 ✓ src/pages/admin/skills/parameterForm.test.ts (22 tests) 8ms
 ✓ src/pages/admin/skills/triggers/castingPhase.test.ts (8 tests) 8ms
 ✓ src/pages/admin/skills/numericValueForm.test.ts (19 tests) 10ms
 ✓ src/services/representativeImageUpload.test.ts (14 tests) 9ms
 ✓ src/pages/admin/skills/formulaExpression.test.ts (7 tests) 5ms
 ✓ src/engine/vampAdapter.test.ts (17 tests) 11ms
 ✓ src/pages/admin/skills/authoringLocation.test.ts (20 tests) 6ms
 ✓ src/services/skillRelationClient.test.ts (21 tests) 29ms
 ✓ src/pages/admin/skills/skillForm.test.ts (12 tests) 5ms
 ✓ src/pages/admin/skills/effects/resultReferenceSummary.test.ts (6 tests) 5ms
 ✓ src/pages/admin/statuses/statusForm.test.ts (11 tests) 6ms
 ✓ src/services/imageRelationClient.test.ts (31 tests) 39ms
 ✓ src/pages/admin/skills/triggers/sourceCastResourceCost.test.ts (12 tests) 8ms
 ✓ src/pages/admin/characters/characterForm.test.ts (20 tests) 6ms
 ✓ src/pages/admin/skills/triggers/lifecycleCondition.test.ts (15 tests) 10ms
 ✓ src/pages/admin/skills/triggers/targetCategoryCondition.test.ts (25 tests) 13ms
 ✓ src/pages/admin/skills/effects/attackTimerReset.test.ts (24 tests) 14ms
 ✓ src/services/attributeClient.test.ts (8 tests) 21ms
 ✓ src/pages/admin/skills/effects/lifecycleExtension.test.ts (14 tests) 10ms
 ✓ src/pages/admin/skills/effects/shieldReceivedModifier.test.ts (15 tests) 9ms
 ✓ src/services/characterAuthoringCheckClient.test.ts (7 tests) 19ms
 ✓ src/pages/admin/skills/effects/healingRatioMax.test.ts (15 tests) 9ms
 ✓ src/pages/admin/attributes/attributeForm.test.ts (10 tests) 5ms
 ✓ src/pages/admin/skills/effects/cooldownRatio.test.ts (14 tests) 12ms
