itemId,name,goldCost,purchasableMap11,adcCompleted,statKeys,skillRefs,dpsOperations,mechanismTags,coverageStatus,nextAction,evidenceRefs,textPreview
1001,鞋子,300,true,false,ms_f,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,略微提升移动速度 25移动速度
1011,巨人腰带,900,true,false,hp,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,显著提升生命值 350生命值
1018,灵巧披风,600,true,false,crit_chance,,,crit,map11_stats_present_non_adc_pool,defer_until_pool_selected,,提升暴击几率 15%暴击几率
1026,爆裂魔杖,850,true,false,ap,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,适度提升法术强度 45法术强度
1027,蓝水晶,300,true,false,mana,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,提升法力值 300法力
1028,红水晶,400,true,false,hp,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,提升生命值 150生命值
1029,布甲,300,true,false,armor,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,略微提升护甲 15护甲
1031,锁子甲,800,true,false,armor,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,显著提升护甲 40护甲
1033,抗魔斗篷,400,true,false,magic_resist,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,略微提升魔法抗性 20魔法抗性
1036,长剑,350,true,false,ad,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,略微提升攻击力 10攻击力
1037,十字镐,875,true,false,ad,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,适度提升攻击力 25攻击力
1038,暴风之剑,1300,true,false,ad,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,显著提升攻击力 40攻击力
1042,短剑,250,true,false,attack_speed,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,略微提升攻击速度 10%攻击速度
1043,反曲之弓,700,true,false,attack_speed,skill_it1043_sting,,on_hit;damage_modifier,future_full_item_passive_review,future_tooltip_review,,显著提升攻击速度 15%攻击速度 叮刺 攻击附带15额外物理伤害 攻击特效。
1052,增幅典籍,400,true,false,ap,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,略微提升法术强度 20法术强度
1053,吸血鬼节杖,900,true,false,ad;life_steal,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,普攻回复生命值 15攻击力 7%生命偷取
1054,多兰之盾,450,true,false,hp;hp_regen,,,damage_modifier,future_full_item_passive_review,future_tooltip_review,,优秀的防御型起始装备 110生命值 耐久专注 每5秒回复4生命值。 在承受来自英雄的伤害后，在8秒里回复生命值。 帮助之手 攻击对小兵造成5额外物理伤害。
1055,多兰之刃,450,true,false,ad;hp;life_steal,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,普攻型英雄的优秀起始装备 10攻击力 80生命值 2.5%全能吸血
1056,多兰之戒,400,true,false,ap;hp,,,on_hit;damage_modifier;shield_or_heal;dot_or_duration,future_full_item_passive_review,future_tooltip_review,,施法型英雄的优秀起始装备 18法术强度 90生命值 汲取 每秒回复1法力值，在对一名敌方英雄造成伤害后，提升至每秒2法力值，持续5秒。如果你不能获得法力值，则转而治疗45%此数值的生命值。 帮助之手 攻击会对小兵造成5额外物理伤害。
1057,负极斗篷,850,true,false,magic_resist,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,适度提升魔法抗性 45魔法抗性
1058,无用大棒,1200,true,false,ap,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,极大提升法术强度 65法术强度
1082,黑暗封印,350,true,false,ap;hp,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,提供法术强度和法力。在你击杀敌方英雄时提升威力。 15法术强度 50生命值 荣耀 参与击杀后提供荣耀层数，至多至10层。阵亡时损失5层荣耀。 每层荣耀提供4法术强度。
1083,萃取,450,true,false,ad,,,on_hit,future_full_item_passive_review,future_tooltip_review,,提供攻击力并在攻击时附带生命偷取—击杀小兵提供额外金币 7攻击力 收割 回复3生命值攻击特效。 击杀小兵时提供1金币，至多至100。达到上限时提供额外的350金币。
1086,多兰之弓,,false,false,ad;attack_speed,,,,special_or_non_map11,defer,,
1111,嘉文一世之靴,300,false,false,armor;attack_speed;magic_resist;ms_f,,,penetration_or_shred,special_or_non_map11,defer,,25%攻击速度 100移动速度 10技能急速 12法术穿透 25护甲 20魔法抗性 30%韧性 嘉文一世 为你提供了所有靴子的属性和被动。 所需强化符文：任务：王中王，靴中靴
1120,多兰之盔,,false,false,armor;hp;magic_resist,,,,special_or_non_map11,defer,,
2015,吉尔菲艾斯碎片,700,false,false,ad,,,on_hit;damage_modifier;charge,special_or_non_map11,defer,,提供攻击速度和可充能的魔法打击 15攻击力 突震 盈能攻击会造成额外的50魔法伤害。
2019,钢铁印章,1100,true,false,ad;armor,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,15攻击力 30护甲
2020,残暴之力,1337,true,false,ability_haste;ad,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,25攻击力 10技能急速 5穿甲
2021,掘道钻头,1150,true,false,ad;hp,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,15攻击力 250生命值
2022,荧尘,250,true,false,ability_haste,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,5技能急速
2049,守护者护符,500,false,false,ability_haste;ap,,,shield_or_heal;dot_or_duration,special_or_non_map11,defer,,提升生命值并持续提供侦察守卫 15%治疗和护盾强度 20法术强度 20技能急速 复原力 每5秒回复10法力值。如果你不能获得法力值，则转而回复3生命值。
2050,守护者法衣,500,false,false,ability_haste;ap;hp,,,,special_or_non_map11,defer,,300生命值 35法术强度 15技能急速
2051,守护者号角,950,true,false,hp;hp_regen,,,dot_or_duration,map11_stats_present_non_adc_pool,defer_until_pool_selected,,坦克型英雄的优秀起始装备 150生命值 复原力：每5秒回复20生命值。不屈不挠：格挡来自英雄的攻击和技能的15伤害(对抗持续伤害技能时的效能为25%)。
2065,舒瑞娅的战歌,2200,true,false,ability_haste;ap;ms_pct,,,dot_or_duration,map11_stats_present_non_adc_pool,defer_until_pool_selected,,激活以加速附近的友军 50法术强度 15技能急速 4%移动速度 125%基础法力回复 鼓舞演讲 为附近友军们提供持续4秒的30%移动速度。
2420,探索者的护臂,1600,true,false,ap;armor,,,active,map11_stats_present_non_adc_pool,defer_until_pool_selected,,主动施放来变得无敌但无法行动 40法术强度 25护甲 时间停止(单次使用) 进入凝滞状态2.5秒。
2421,碎裂的护臂,1600,true,false,ap;armor,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,升级为秒表 40法术强度 25护甲 支离破碎的时间 【护臂】目前是破碎状态，但仍然可以用于升级。 在打破一个【护臂】后，商店主人就只会卖给你碎裂的护臂了。
2422,有点神奇之鞋,300,false,false,ms_f,,,,special_or_non_map11,defer,,25移动速度 提供额外的10移动速度。通过【有点神奇之鞋】合成的鞋类装备都会保持这个移动速度加成。
2501,霸王血铠,3300,true,true,ad;hp,,,missing_hp,adc_pool_passive_gap,record_tooltip_and_encode_passive,BatchC_stats,30攻击力 550生命值 专横 获得相当于你2.5%额外生命值的攻击力。 报复 获得基于你的百分比已损失生命值的12%攻击力提升。
2502,无终恨意,2800,true,false,ability_haste;armor;hp,,,shield_or_heal,map11_stats_present_non_adc_pool,defer_until_pool_selected,,400生命值 50护甲 15技能急速 苦楚 在与英雄的战斗状态下，每4秒对附近的敌方英雄们造成魔法伤害，并治疗自身相当于250%已造成伤害的生命值。
2503,黯炎火炬,2800,true,false,ability_haste;ap;mana,,,damage_modifier;dot_or_duration,future_full_item_passive_review,future_tooltip_review,,80法术强度 600法力 20技能急速 邪焰 伤害型技能造成额外魔法伤害，持续3秒。 黯炎 被你的邪焰影响的每个敌方英雄、史诗级野怪和大型野怪都会为你提供4%法术强度。
2504,败魔,2900,true,false,hp;magic_resist,,,shield_or_heal,map11_stats_present_non_adc_pool,defer_until_pool_selected,,400生命值 80魔法抗性 100%基础生命回复 法师之祸 如果连续15秒没有受到魔法伤害，获得魔法护盾。
2508,命定灰烬,900,true,false,ap,,,damage_modifier;dot_or_duration,future_full_item_passive_review,future_tooltip_review,,30法术强度 激燃 伤害型技能在3秒里持续造成15额外魔法伤害。 对野怪造成额外的45魔法伤害。
2510,黄昏与黎明,3100,true,true,ability_haste;ap;attack_speed;hp,,,on_hit;damage_modifier;active;spellblade,adc_pool_passive_gap,record_tooltip_and_encode_passive,BatchC_stats,350生命值 70法术强度 20技能急速 25%攻击速度 咒刃 (0秒) 施放技能后，你的下一次攻击会造成0额外魔法伤害攻击特效并将攻击特效施加额外的一次。
2512,猎魔人弩箭,2650,true,true,attack_speed;crit_chance;ms_pct,,,crit;damage_modifier;active;dot_or_duration,adc_pool_passive_gap,record_tooltip_and_encode_passive,BatchC_stats,45%攻击速度 25%暴击几率 4%移动速度 守夜 获得30终极技能急速。 开战弹幕 在施放你的终极技能后，你的下3次攻击获得50%攻击速度并且必定产生暴击，造成你的80%常规暴击伤害，持续8秒。如果一次攻击本应暴击，则此攻击转而造成15%额外真实伤害。
2517,无穷饥渴,3100,true,true,ad;omnivamp;tenacity,,,dot_or_duration,adc_pool_stats_only,no_user_data_needed_now,BatchC_stats,65攻击力 5%全能吸血 20%韧性 饥馑 获得0技能急速。 盛宴 如果一名在过去3秒内曾被你造成过伤害的英雄阵亡，则获得持续8秒的15%全能吸血。
2520,破垒者,3200,true,true,ability_haste;ad;armor_pen_flat,,,on_hit;damage_modifier;spellblade;dot_or_duration,adc_pool_passive_gap,record_tooltip_and_encode_passive,BatchC_stats,55攻击力 22穿甲 15技能急速 成型炸药 (0秒) 对一个英雄或史诗级野怪造成技能伤害时，会造成额外的0真实伤害。 破坏 参与击杀一个在3秒内被你造成过伤害的英雄后，提供持续90秒的【蓄意破坏】。在你拥有【蓄意破坏】时，你对史诗级野怪或防御塔的下一次攻击会在3秒里持续造成额外0真实伤害。
2522,实现器,2800,true,false,ap;mana,,,damage_modifier;shield_or_heal;dot_or_duration,future_full_item_passive_review,future_tooltip_review,,90法术强度 300法力 10技能急速 法力成真 (0秒) 在8秒的持续期间里，你的法力值获得强化。在强化状态下，你的技能花费100%额外法力值，你获得额外的0技能伤害、护盾值、治疗效果，并且你的基础技能的冷却时间转速加快30%。
2523,海克斯镜片 C44,2800,true,true,ad;crit_chance,,,on_hit;crit;damage_modifier;dot_or_duration,adc_pool_passive_gap,record_tooltip_and_encode_passive,BatchC_stats,55攻击力 25%暴击几率 高倍望远镜 攻击造成至多10%额外伤害，基于敌人离你有多远 (在500码时达到最大伤害)。 奥术瞄准 当一个你在3秒内造成过伤害的英雄阵亡时，你获得持续8秒的100额外攻击距离。
2524,班德尔音管,2300,true,false,armor;hp;magic_resist,,,slow_or_cc;dot_or_duration,map11_stats_present_non_adc_pool,defer_until_pool_selected,,200生命值 15技能急速 20护甲 20魔法抗性 嘹亮旋律 减速或定身一个敌方英雄时会提供一个持续0秒的【嘹亮旋律】。【嘹亮旋律】会为你提供20移动速度。当你拥有【嘹亮旋律】时，附近的友军，包括你自己，获得0攻击速度。
2525,原生质护带,2500,true,false,hp,,,shield_or_heal;dot_or_duration,map11_stats_present_non_adc_pool,defer_until_pool_selected,,600生命值 20技能急速 救主灵刃 (0秒) 在受到将使你的生命值跌到30%以下的伤害时，获得持续5秒的0最大生命值，然后在此期间持续治疗0生命值。在回复生命值状态下，你获得15%体型增长、10%移动速度、以及25%韧性。
2526,耳语头环,2250,true,false,hp;mana,,,shield_or_heal,map11_stats_present_non_adc_pool,defer_until_pool_selected,,200生命值 8%治疗和护盾强度 75%基础法力回复 300法力 和谐 获得0%治疗和护盾强度。 法力流 (8秒，最大5层) 技能在命中时会提供4最大法力值(对英雄时翻倍)。 在360最大法力值时转变为歌之权冠。
2530,歌之权冠,2250,false,false,hp;mana,,,shield_or_heal,special_or_non_map11,defer,,200生命值 8%治疗和护盾强度 1000法力 100%基础法力回复 和谐 获得0%治疗和护盾强度。 和音 当你或你在前3秒提供过治疗或护盾的任一友军处在与英雄的战斗状态时，每秒治疗附近生命值最低的那个友军。
3001,薄暮法袍,2300,false,false,ability_haste;armor;hp;magic_resist,,,damage_modifier;dot_or_duration,special_or_non_map11,defer,,附近敌人承受更多魔法伤害 200生命值 30护甲 30魔法抗性 20技能急速 闪芒：在定身英雄或被定身时，使该目标和附近的所有敌方英雄受到7%伤害提升，持续5秒。 神话被动：你每装备一件传说装备，就会获得 5 护甲和 魔法抗性。
3002,引路者,2400,true,false,armor;hp;ms_pct,,,slow_or_cc;spellblade;dot_or_duration,future_full_item_passive_review,future_tooltip_review,,250生命值 40护甲 4%移动速度 引路 在移动时，积攒至多20额外移动速度。 在最大速度时：生成一条路径来使你的友方英雄们加快移动速度，数额相当于你的15%移动速度。如果你是近战英雄，你的下一次攻击还会对目标造成持续1秒的50%减速。
3003,大天使之杖,2900,true,false,ability_haste;ap;mana,,,charge,future_full_item_passive_review,future_tooltip_review,,基于最大法力值提升法术强度 70法术强度 600法力 25技能急速 敬畏 获得相当于1%额外法力值的法术强度。 法力流 (8秒，最大5层充能) 技能在命中时提供5最大法力值(对英雄时翻倍)。 在360最大法力值时转变为炽天使之拥。
3004,魔宗,2900,true,true,ability_haste;ad;mana,,,,adc_pool_stats_only,no_user_data_needed_now,BatchC_stats,基于最大法力值提升攻击力 35攻击力 500法力 15技能急速 敬畏 获得0额外攻击力。 法力流 (8秒，最大4层) 普攻和技能在命中时会提供3最大法力值(对英雄时翻倍)。 在360最大法力值时转变为魔切。
3005,鬼蟹,1000,false,false,ms_f,,,active;dot_or_duration,special_or_non_map11,defer,,基于最大生命值提升攻击力 45移动速度 墙体行走： (0秒) 获得持续6秒的穿墙行走能力。在墙体内时，获得125移动速度。施放一个技能或进行攻击将结束这个效果。
3006,狂战士胫甲,1100,true,false,attack_speed;ms_f,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,增强移动速度和攻击速度 25%攻击速度 45移动速度
3008,暴食胫甲,,false,false,ms_f,,,,special_or_non_map11,defer,,
3009,轻灵之靴,1000,true,false,ms_f,,,slow_or_cc,map11_stats_present_non_adc_pool,defer_until_pool_selected,,增强移动速度并抵抗减速效果 55移动速度 迅捷步 将减速效果的效能降低25%。
3010,共生鞋鱼,900,false,false,ms_f,,,,special_or_non_map11,defer,,受伤时回蓝，耗蓝时回血。 40移动速度 灵犀 非战斗状态下获得10移动速度。 共生 在移动150000码后，变形为灵犀众魂。
3011,炼金科技纯化器,1900,false,false,ability_haste;ap,,,shield_or_heal;dot_or_duration,special_or_non_map11,defer,,35法术强度 10%治疗和护盾强度 75%基础法力回复 15技能急速 芙顶之毒：对英雄们造成伤害时会施加40%重伤效果，持续3秒。 重伤会降低治疗效果和生命回复的效能。
3012,祝福圣杯,900,false,false,hp,,,,special_or_non_map11,defer,,200生命值 50%基础法力回复 和谐：每25%基础法力回复提供25%基础生命回复。 “这些受祝之水仍然将它们的能量带给应得之人。”
3013,灵犀众魂,900,false,false,ms_f,,,,special_or_non_map11,defer,,45移动速度 虚空生物 获得【强化回城】。 灵犀 非战斗状态下获得45移动速度。
3020,法师之靴,1100,true,false,ms_f,,,penetration_or_shred,map11_stats_present_non_adc_pool,defer_until_pool_selected,,增强移动速度和魔法伤害 12法术穿透 45移动速度
3023,生命水井坠饰,1050,false,false,ability_haste;armor;hp,,,slow_or_cc,special_or_non_map11,defer,,召唤幽灵去减速并暴露敌方英雄 150生命值 25护甲 5技能急速 “时尚又实用。”
3024,冰川圆盾,900,true,false,ability_haste;armor;mana,,,,map11_stats_present_non_adc_pool,defer_until_pool_selected,,提升护甲和冷却缩减 25护甲 300法力 10技能急速
3026,守护天使,3200,true,true,ad;armor,,,,adc_pool_stats_only,no_user_data_needed_now,BatchC_stats,周期性地在英雄死亡时将其复活 55攻击力 45护甲 重生 你的英雄在受到致命伤害时，会在凝滞4秒后原地复活，恢复50%基础生命值和100%最大法力值。
3031,无尽之刃,3500,true,true,ad;crit_chance;crit_damage,,,crit,adc_pool_stats_only,no_user_data_needed_now,BatchC_stats,巨幅加强暴击 75攻击力 25%暴击几率 30%暴击伤害
3032,育恩塔尔荒野箭,3100,true,true,ad;attack_speed,,,on_hit;crit;dot_or_duration,adc_pool_passive_gap,record_tooltip_and_encode_passive,BatchC_stats,50攻击力 40%攻击速度 0%暴击几率 熟能生巧 攻击时，永久获得暴击几率，至多至25%。 疾风骤雨 攻击一个敌方英雄时，获得持续6秒的30%攻击速度(30秒冷却时间)。 攻击可使这个冷却时间缩短1秒，这个缩减值会在暴击时提升至2秒。
3033,凡性的提醒,3000,true,true,ad;armor_pen_percent;crit_chance,,,crit;penetration_or_shred;dot_or_duration,adc_pool_stats_only,no_user_data_needed_now,BatchC_stats,用于对抗拥有高生命回复和高护甲的敌人 35攻击力 30%护甲穿透 25%暴击几率 重伤 对敌方英雄造成物理伤害时会施加40%重伤效果，持续3秒。
3035,最后的轻语,1450,true,false,ad,,,penetration_or_shred,map11_stats_present_non_adc_pool,defer_until_pool_selected,,用于对抗拥有高护甲的敌人 20攻击力 18%护甲穿透
3036,多米尼克领主的致意,3300,true,true,ad;armor_pen_percent;crit_chance,,,crit;damage_modifier;penetration_or_shred,adc_pool_passive_gap,record_tooltip_and_encode_passive,BatchC_stats,用于对抗拥有高生命值和高护甲的敌人 35攻击力 35%护甲穿透 25%暴击几率 巨人杀手 基于敌方英雄的额外生命值，对其至多造成15%额外伤害。最大伤害加成在1500额外生命值时达成。
