candidateKey,inventoryOrdinal,sourceKind,ownerId,skillKey,passiveName,pageId,wikiItemId,wikiEffectSlots,legacyClassification,resolvedBucket,sourceRef
hero_skill|hero_akshan|P|无所不用,0,hero_skill,hero_akshan,P,无所不用,akshan-p,,,already_covered,partial,数据参考/lol-wiki-current-champions/normalized/generic/akshan-p.json@rev4038197 sha256:22ba762382dedced4b63a451c4513cb3129e3b16a137236e5b637eea7510b534
hero_skill|hero_akshan|Q|去而复还,1,hero_skill,hero_akshan,Q,去而复还,akshan-q,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/akshan-q.json@rev4007510 sha256:1cbf7dda955849d05ad2d7e578ed9507f8f61fc7525c5ed006a25185915b5f5b
hero_skill|hero_akshan|W|赴险夺人,2,hero_skill,hero_akshan,W,赴险夺人,akshan-w,,,out_of_scope_for_single_target_dps,out_of_scope,数据参考/lol-wiki-current-champions/normalized/generic/akshan-w.json@rev3989407 sha256:d1f66a7d68ae4ac2b607bd580c911a124a384da5117e9688e9bbb392c1caff12
hero_skill|hero_akshan|E|骄行荡寇,3,hero_skill,hero_akshan,E,骄行荡寇,akshan-e,,,out_of_scope_for_single_target_dps,out_of_scope,数据参考/lol-wiki-current-champions/normalized/generic/akshan-e.json@rev4007412 sha256:e4304b3a5f145f7975fee0d07d55d041db25570266d9a46053735425585c99f4
hero_skill|hero_akshan|R|恩怨相抵,4,hero_skill,hero_akshan,R,恩怨相抵,akshan-r,,,out_of_scope_for_single_target_dps,blocked,数据参考/lol-wiki-current-champions/normalized/generic/akshan-r.json@rev3982549 sha256:f6707ea62ac3c40823b6b1ee5984d19987f49a35283f7795e04cd8b36359ef32
hero_skill|hero_aphelios|P|传知者与真知者,5,hero_skill,hero_aphelios,P,传知者与真知者,aphelios-p,,,needs_manual_baseline,out_of_scope,数据参考/lol-wiki-current-champions/normalized/generic/aphelios-p.json@rev4022691 sha256:f89d11798f5ae62bde50b9a22bff7bc9e03360fb14cb232410a839459a50781e
hero_skill|hero_aphelios|Q|武器技能,6,hero_skill,hero_aphelios,Q,武器技能,aphelios-q,,,out_of_scope_for_single_target_dps,out_of_scope,数据参考/lol-wiki-current-champions/normalized/generic/aphelios-q.json@rev3963883 sha256:95c3bafeb5c1558022cfd687495336b6a254c5fe3ab373b1b2f6b0a00c5e52dd
hero_skill|hero_aphelios|W|月相轮转,7,hero_skill,hero_aphelios,W,月相轮转,aphelios-w,,,needs_manual_baseline,out_of_scope,数据参考/lol-wiki-current-champions/normalized/generic/aphelios-w.json@rev3970739 sha256:f3fb3134b57ae063602a10fabc22f2653c59f18eddd0a7d6d9c95eeb8205471e
hero_skill|hero_aphelios|E|武器队列系统,8,hero_skill,hero_aphelios,E,武器队列系统,aphelios-e,,,out_of_scope_for_single_target_dps,out_of_scope,数据参考/lol-wiki-current-champions/normalized/generic/aphelios-e.json@rev3998993 sha256:4e8678cf455dbbf1eebd50d9a7e318ef9e56f47e80f263a8e8d92a4be0efabb0
hero_skill|hero_aphelios|R|清辉夜凝,9,hero_skill,hero_aphelios,R,清辉夜凝,aphelios-r,,,out_of_scope_for_single_target_dps,out_of_scope,数据参考/lol-wiki-current-champions/normalized/generic/aphelios-r.json@rev3996444 sha256:29aae204e6987b0049678b38b3ca912ae940f9a5de3bd525a8cffadd543f0d2b
