key,parent_key,name,applies_to,source
champion_attack_mode_type,,攻击方式类型,character,modeling.lol_system
champion_attack_mode_melee,champion_attack_mode_type,近战,character,modeling.lol_system
champion_attack_mode_ranged,champion_attack_mode_type,远程,character,modeling.lol_system
champion_role_type,,英雄定位类型,character,modeling.lol_system
champion_role_fighter,champion_role_type,战士,character,modeling.lol_system
champion_role_mage,champion_role_type,法师,character,modeling.lol_system
champion_role_assassin,champion_role_type,刺客,character,modeling.lol_system
champion_role_marksman,champion_role_type,射手,character,modeling.lol_system
champion_role_tank,champion_role_type,坦克,character,modeling.lol_system
champion_role_support,champion_role_type,辅助,character,modeling.lol_system
champion_role_specialist,champion_role_type,专家/特化,character,modeling.lol_system
skill_scope_type,,技能范围类型,skill,modeling.mvp
skill_scope_single,skill_scope_type,单体技能,skill,modeling.mvp
skill_scope_area,skill_scope_type,范围技能,skill,modeling.mvp
skill_scope_line,skill_scope_type,直线技能,skill,modeling.mvp
skill_scope_cone,skill_scope_type,锥形技能,skill,modeling.mvp
skill_scope_fan,skill_scope_type,扇形技能,skill,modeling.mvp
skill_scope_circle,skill_scope_type,圆形区域技能,skill,modeling.mvp
skill_scope_ring,skill_scope_type,环形区域技能,skill,modeling.mvp
skill_scope_global,skill_scope_type,全图技能,skill,modeling.mvp
skill_target_type,,技能目标类型,skill,modeling.mvp
skill_target_self,skill_target_type,自身,skill,modeling.mvp
skill_target_enemy_single,skill_target_type,敌方单体,skill,modeling.mvp
skill_target_ally_single,skill_target_type,友方单体,skill,modeling.mvp
skill_target_ground_area,skill_target_type,地面区域,skill,modeling.mvp
skill_target_unit_targeted,skill_target_type,单位指向,skill,modeling.mvp
skill_target_no_target,skill_target_type,无目标,skill,modeling.mvp
skill_structure_type,,技能结构类型,skill,modeling.mvp
skill_structure_passive,skill_structure_type,被动技能,skill,local.skill_classification
skill_structure_active,skill_structure_type,主动技能,skill,local.skill_classification
skill_structure_charge,skill_structure_type,充能技能,skill,local.skill_classification
skill_structure_channel,skill_structure_type,引导技能,skill,modeling.mvp
skill_structure_duration,skill_structure_type,持续技能,skill,modeling.mvp
skill_structure_two_stage,skill_structure_type,二段/形态切换技能,skill,local.skill_classification
skill_structure_summon,skill_structure_type,召唤/部署技能,skill,local.skill_classification
skill_structure_attack_reset,skill_structure_type,普攻重置/强化技能,skill,modeling.mvp
skill_effect_type,,技能效果类型,skill,local.skill_classification
skill_effect_damage,skill_effect_type,伤害,skill,local.skill_classification
skill_effect_control,skill_effect_type,控制,skill,local.skill_classification
skill_effect_self_buff,skill_effect_type,自我增益,skill,local.skill_classification
skill_effect_heal,skill_effect_type,治疗/回复,skill,local.skill_classification
skill_effect_two_stage,skill_effect_type,二段/形态切换,skill,local.skill_classification
skill_effect_movement,skill_effect_type,位移,skill,local.skill_classification
skill_effect_enemy_debuff,skill_effect_type,敌方减益,skill,local.skill_classification
skill_effect_summon,skill_effect_type,召唤/部署,skill,local.skill_classification
skill_effect_resource,skill_effect_type,资源交互,skill,local.skill_classification
skill_effect_shield,skill_effect_type,护盾,skill,local.skill_classification
skill_effect_execute,skill_effect_type,斩杀/缺失生命值联动,skill,local.skill_classification
skill_effect_stealth,skill_effect_type,隐身/伪装,skill,local.skill_classification
skill_effect_untargetable,skill_effect_type,不可选取/无敌/霸体,skill,local.skill_classification
skill_effect_charge,skill_effect_type,充能技能,skill,local.skill_classification
skill_effect_revive,skill_effect_type,复活/免死相关,skill,local.skill_classification
damage_type,,伤害类型,skill|equipment,local.skill_classification
damage_type_physical,damage_type,物理,skill|equipment,local.skill_classification
damage_type_magic,damage_type,魔法,skill|equipment,local.skill_classification
damage_type_true,damage_type,真实,skill|equipment,local.skill_classification
damage_type_hybrid_physical_magic,damage_type,混合(物理+魔法),skill|equipment,local.skill_classification
damage_type_hybrid_magic_true,damage_type,混合(魔法+真实),skill|equipment,local.skill_classification
damage_type_hybrid_physical_true,damage_type,混合(物理+真实),skill|equipment,local.skill_classification
damage_type_hybrid_all,damage_type,混合(物理+魔法+真实),skill|equipment,local.skill_classification
damage_type_none,damage_type,无/未标注,skill|equipment,local.skill_classification
damage_pattern_type,,伤害修正类型,skill|equipment,modeling.mvp
damage_pattern_burst,damage_pattern_type,爆发伤害,skill|equipment,modeling.mvp
damage_pattern_dot,damage_pattern_type,持续伤害,skill|equipment,modeling.mvp
damage_pattern_on_hit,damage_pattern_type,攻击特效伤害,skill|equipment,local.item_tags
damage_pattern_current_hp,damage_pattern_type,当前生命值伤害,skill|equipment,modeling.lol_system
damage_pattern_max_hp,damage_pattern_type,最大生命值伤害,skill|equipment,modeling.lol_system
damage_pattern_missing_hp,damage_pattern_type,缺失生命值伤害,skill|equipment,modeling.lol_system
damage_pattern_execute,damage_pattern_type,斩杀伤害,skill|equipment,local.skill_classification
damage_pattern_splash,damage_pattern_type,溅射伤害,skill|equipment,modeling.mvp
damage_pattern_bonus,damage_pattern_type,额外附伤,skill|equipment,modeling.mvp
damage_pattern_critical,damage_pattern_type,暴击伤害,skill|equipment,modeling.lol_system
control_type,,控制类型,skill|equipment,local.skill_classification
control_slow,control_type,减速,skill|equipment,local.skill_classification
control_stun,control_type,眩晕,skill|equipment,local.skill_classification
