造成真实伤害,"x*(1+a.incr)*(1+b.incr)"
造成物理伤害,"x*(1+a.incr)*(1+b.incr)*100/(100+max(0,(b.armor*(1-b.armor_shred_percent))*(1-a.armor_pen_percent)-a.armor_pen_flat))"
造成魔法伤害,"x*(1+a.incr)*(1+b.incr)*100/(100+max(0,(b.magic_resist*(1-b.mr_shred_percent))*(1-a.magic_pen_percent)-a.magic_pen_flat))"
治疗,"min(x*(1+a.heal_shield_power)*(1+a.incr)*(1+b.incr),b.max_hp-b.hp)"
护盾吸收后伤害,"max(0,x-b.shield)"
移速变更,"(x+a.move_speed_flat)*(1+a.move_speed_percent)"
冷却缩减,"x/(x+100)"
Q冷却时间,"min(max(q_base_cd,0),500)*100/(100+a.ability_haste+a.basic_ability_haste+a.q_ability_haste)"
W冷却时间,"min(max(w_base_cd,0),500)*100/(100+a.ability_haste+a.basic_ability_haste+a.w_ability_haste)"
E冷却时间,"min(max(e_base_cd,0),500)*100/(100+a.ability_haste+a.basic_ability_haste+a.e_ability_haste)"
大招冷却时间,"min(max(r_base_cd,0),500)*100/(100+a.ability_haste+a.ultimate_ability_haste)"
物理有效生命值(分析),"b.hp*(1+b.armor/100)"
魔法有效生命值(分析),"b.hp*(1+b.magic_resist/100)"
