属性名称,code,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
攻击力,ad,58,61.2,64.4,67.6,70.8,74,77.2,80.4,83.6,86.8,90,93.2,96.4,99.6,102.8,106,109.2,112.4
法术强度,ap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
法力值,mana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
攻击速度,attack_speed,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
成长攻击速度,attack_speed_growth,0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34
护甲,armor,28,32.7,37.4,42.1,46.8,51.5,56.2,60.9,65.6,70.3,75,79.7,84.4,89.1,93.8,98.5,103.2,107.9
魔法抗性,magic_resist,32,34.05,36.1,38.15,40.2,42.25,44.3,46.35,48.4,50.45,52.5,54.55,56.6,58.65,60.7,62.75,64.8,66.85
生命值,hp,672,780,888,996,1104,1212,1320,1428,1536,1644,1752,1860,1968,2076,2184,2292,2400,2508
移动速度,move_speed,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335
技能极速,ability_haste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
冷却缩减,cooldown_reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
基本技能极速,basic_ability_haste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大招技能极速,ultimate_ability_haste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
基本技能冷却,basic_ability_cooldown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q技能极速,q_ability_haste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W技能极速,w_ability_haste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E技能极速,e_ability_haste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
射程,attack_range,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
生命回复,hp_regen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
法力回复,mana_regen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
能量值,energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
能量回复,energy_regen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
暴击几率,crit_chance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
暴击伤害,crit_damage,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75
固定护甲穿透,armor_pen_flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
百分比护甲穿透,armor_pen_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
固定魔法穿透,magic_pen_flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
百分比魔法穿透,magic_pen_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
生命偷取,life_steal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
全能吸血,omnivamp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
韧性,tenacity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
减速抗性,slow_resist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
治疗与护盾强度,heal_shield_power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
适应之力,adaptive_force,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
召唤师技能极速,summoner_spell_haste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
装备极速,item_haste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
护甲削减（目标debuff）,armor_shred_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
魔抗削减（目标debuff）,mr_shred_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
